date,amount,category,type,note
7/1/2024,5100,Groceries,Variable,Zepto
7/2/2024,2003,Utilities,Fixed,Airtel Bill
7/3/2024,2000,Dining Out,Discretionary,Eating and Dining
7/4/2024,6000,Groceries,Variable,Monthly groceries
7/5/2024,5000,Credit Card,Variable,Credit card bill
7/6/2024,10000,Education Loan EMI,Fixed,Monthly education loan payment
8/1/2024,5100,Groceries,Variable,Zepto
8/2/2024,2003,Utilities,Fixed,Airtel Bill
8/3/2024,2000,Dining Out,Discretionary,Eating and Dining
8/4/2024,6000,Groceries,Variable,Monthly groceries
8/5/2024,5000,Credit Card,Variable,Credit card bill
8/6/2024,10000,Education Loan EMI,Fixed,Monthly education loan payment
